2022-12-29 10:55:32,549 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 41
2022-12-29 10:59:24,964 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 41
2022-12-29 10:59:34,784 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 41
2022-12-29 11:08:05,528 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 41
2022-12-29 11:22:39,855 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 43
2022-12-29 11:24:24,964 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 43
2022-12-29 11:24:58,095 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 43
2022-12-29 11:27:08,222 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 43
2022-12-29 11:30:38,948 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 43
2022-12-29 12:44:02,597 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/0b11775e-43e1-4911-b2cc-9954ade08948/window
2022-12-29 12:44:02,598 | urllib3.connectionpool | [WARNING] | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2022-12-29 13:39:14,393 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 55
2022-12-29 15:30:14,234 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/2366fa4e-92aa-40be-a21c-5a44871d6598/window
2022-12-29 15:30:14,237 | urllib3.connectionpool | [WARNING] | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2022-12-29 15:32:49,182 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 68
2022-12-29 16:38:44,099 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 82
2022-12-30 09:22:06,730 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 96
2022-12-30 09:29:48,620 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 96
2022-12-30 10:12:51,711 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 115
2022-12-30 10:20:41,504 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 115
2022-12-30 10:30:44,697 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 115
2022-12-30 10:46:01,587 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 121
2022-12-30 11:30:53,936 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 134
2022-12-30 12:10:45,542 | urllib3.connectionpool | [WARNING] | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2022-12-30 12:10:45,542 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/6b65be9d-5d4a-44ba-a49b-236132d96860/window
2022-12-30 12:10:57,438 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 141
2022-12-30 13:35:35,923 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 178
2022-12-30 14:42:18,863 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 202
2022-12-30 14:46:59,323 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 203
2022-12-30 15:26:37,736 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 214
2022-12-30 15:36:45,138 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251CBB998B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/e0b65c88-496d-4663-9af9-5103f7b20f8d/element/fcd21fd8-d83a-4e7c-ac8f-8a1e6070a136/text
2022-12-30 15:36:45,769 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C0629EE0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3c8826f1-2083-49e6-9174-f9a3ab9be8d7/element
2022-12-30 15:36:49,160 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1FA30D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/e0b65c88-496d-4663-9af9-5103f7b20f8d/element/fcd21fd8-d83a-4e7c-ac8f-8a1e6070a136/text
2022-12-30 15:36:49,835 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1FA3E50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3c8826f1-2083-49e6-9174-f9a3ab9be8d7/element
2022-12-30 15:36:53,252 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76490>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/e0b65c88-496d-4663-9af9-5103f7b20f8d/element/fcd21fd8-d83a-4e7c-ac8f-8a1e6070a136/text
2022-12-30 15:36:53,903 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76040>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3c8826f1-2083-49e6-9174-f9a3ab9be8d7/element
2022-12-30 15:37:01,448 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76AC0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/e0b65c88-496d-4663-9af9-5103f7b20f8d/element/bb7121d7-9069-478d-92a6-33d88b1445c9/text
2022-12-30 15:37:03,093 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76BE0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3c8826f1-2083-49e6-9174-f9a3ab9be8d7/element
2022-12-30 15:37:05,528 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76D90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/e0b65c88-496d-4663-9af9-5103f7b20f8d/element/bb7121d7-9069-478d-92a6-33d88b1445c9/text
2022-12-30 15:37:07,153 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76F10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3c8826f1-2083-49e6-9174-f9a3ab9be8d7/element
2022-12-30 15:37:09,613 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76550>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/e0b65c88-496d-4663-9af9-5103f7b20f8d/element/bb7121d7-9069-478d-92a6-33d88b1445c9/text
2022-12-30 15:37:11,247 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000251C1F76190>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/3c8826f1-2083-49e6-9174-f9a3ab9be8d7/element
